Designator,Mid X,Mid Y,Rotation,Layer
C1,66.75,-54.425,90.0,top
C10,62.9375,-67.0,180.0,top
C2,66.75,-59.75,90.0,top
C29,54.5,-73.175,180.0,top
C3,54.5,-67.675,0.0,top
C32,54.0,-86.75,180.0,top
C33,54.0,-84.0,180.0,top
C34,62.9375,-69.5,0.0,top
C35,62.9375,-72.0,0.0,top
C36,62.9375,-74.5,0.0,top
C4,69.5,-54.425,90.0,top
C5,78.0,-72.25,90.0,top
C6,62.9375,-64.5,0.0,top
C7,54.5,-70.425,180.0,top
C9,78.0,-67.1875,90.0,top
J1,56.155,-102.75,0.0,top
J10,45.41,-63.0,90.0,top
J2,35.6,-63.0,90.0,top
J3,87.1725,-83.0,90.0,top
J4,67.07,-102.5,0.0,top
J5,87.25,-60.71,90.0,top
J6,35.6,-94.5,90.0,top
J7,45.41,-94.5,90.0,top
J8,35.6,-78.75,90.0,top
J9,45.41,-78.75,90.0,top
PWR1,82.75,-103.75,270.0,top
R1,54.5,-64.925,180.0,top
R13,75.75,-96.25,90.0,top
R14,54.0,-79.0,0.0,top
R15,54.0,-81.5,180.0,top
R16,61.5,-81.0,90.0,top
R17,77.0,-87.75,270.0,top
R2,82.75,-98.5,90.0,top
R3,71.75,-73.0,0.0,top
R4,73.0,-75.75,180.0,top
R5,76.5,-80.5,180.0,top
R6,76.5,-83.25,0.0,top
SW1,72.75,-65.25,90.0,top
SW2,68.5,-79.5,180.0,top
U1,58.25,-57.425,90.0,top
U3,56.25,-93.25,180.0,top
U4,78.75,-60.75,0.0,top
U8,68.25,-89.075,270.0,top
Y1,58.85,-86.15,0.0,top
