Comment,Designator,Footprint
Header 10X1_Female,"CN5","1*10P_FEMALE"
Header 8X1_Female,"CN6,CN9","1*8P_FEMALE"
Header 6X1_Female,"CN8","1*6P_FEMALE"
Conn_01x06_Socket,"J1","PinHeader_1x06_P2.54mm_Vertical"
Conn_01x04_Socket,"J2","PinHeader_1x03_P2.54mm_Vertical"
Conn_01x12_Socket,"J3","PinHeader_1x12_P2.54mm_Vertical"
Conn_01x07_Socket,"J4","PinHeader_1x07_P2.54mm_Vertical"
Conn_01x09_Socket,"J5","PinHeader_1x09_P2.54mm_Vertical"
Conn_01x12_Pin,"J6","PinHeader_2x06_P2.54mm_Vertical"
GREEN,"PWR1","1206"
120,"R1","1206"
4k7,"R2,R3,R4","1206"
SW_Push_Dual,"RESET1","SW_Push_1P1T_NO_CK_PTS125Sx43SMTR"
